trending_id,trend_date_time,trend
333,2021-12-14 03:00:17.097479,#CavaniComTaunsa
334,2021-12-14 15:00:14.067639,El País
335,2021-12-14 15:00:14.337304,#SpiderManNoWayHome
336,2021-12-14 15:00:14.487532,Richardson
337,2021-12-14 15:00:14.739861,homem aranha
338,2021-12-14 15:00:14.970756,Zendaya
339,2021-12-14 15:00:15.135134,JULIETTE E ALOK VEM
340,2021-12-14 15:00:15.388582,Tom Holland
341,2021-12-14 15:00:15.525994,#ChristmasLovebyJimin
342,2021-12-14 15:00:15.733775,BEST CHRISTMAS SONG
343,2021-12-14 15:00:15.862806,#Encontro
344,2021-12-14 21:00:10.070969,Carlinhos Maia
345,2021-12-14 21:00:10.282862,Josué
346,2021-12-14 21:00:10.484765,Abel Braga
347,2021-12-14 21:00:10.772684,#OClone
348,2021-12-14 21:00:10.918205,#moroarregao
361,2021-12-15 03:00:28.692677,#EliminaçãoAFazenda
349,2021-12-14 21:00:11.156303,Leeds
350,2021-12-14 21:00:11.625972,homem aranha
351,2021-12-14 21:00:11.761931,#askopc
352,2021-12-14 21:00:11.940457,Marcão
353,2021-12-14 21:00:12.048096,#NintendoSwitch2021
354,2021-12-15 03:00:27.343138,#MasterChefBR
355,2021-12-15 03:00:27.500709,#IAMPABLLO
356,2021-12-15 03:00:27.734322,Curry
357,2021-12-15 03:00:27.926571,#TheVoiceBrasil
358,2021-12-15 03:00:28.077409,Isabella
359,2021-12-15 03:00:28.327547,Eduardo
360,2021-12-15 03:00:28.459232,#FinalCorridaDasBlogueiras
493,2021-12-19 15:00:15.839321,#NotMeSeriesEP2
362,2021-12-15 03:00:28.850027,Kelyn
363,2021-12-15 03:00:29.025374,Fogaça
364,2021-12-15 15:00:40.444212,Paulinho
365,2021-12-15 15:00:40.699277,Ciro
366,2021-12-15 15:00:40.903243,Yelena
367,2021-12-15 15:00:41.195296,Aguero
368,2021-12-15 15:00:41.4273,#Hawkeye
369,2021-12-15 15:00:41.569744,#TwitchRecap
370,2021-12-15 15:00:41.891482,Paris
371,2021-12-15 15:00:42.056051,Olá 2022
372,2021-12-15 15:00:42.225429,Thaisa
373,2021-12-15 15:00:42.435244,SOBRE I&R E JULIETTE
374,2021-12-15 21:00:30.877048,OBRIGADA DAYANE MELLO
375,2021-12-15 21:00:31.109182,Bell Hooks
376,2021-12-15 21:00:31.312331,Mirella
377,2021-12-15 21:00:31.832274,KIM TAEHYUNG
378,2021-12-15 21:00:32.005224,#LiveDoEliminado
494,2021-12-19 21:00:34.935436,VOLTE SEMPRE DAYANE
588,2021-12-22 21:00:48.936436,Wanda
379,2021-12-15 21:00:32.204586,Alckmin
380,2021-12-15 21:00:32.438936,Ciro
381,2021-12-15 21:00:32.60676,Olá 2022
382,2021-12-15 21:00:32.765192,#TwitchRecap
383,2021-12-15 21:00:32.934302,Mack
384,2021-12-16 03:00:14.052471,Hulk
385,2021-12-16 03:00:14.227501,#FestaAFazenda
386,2021-12-16 03:00:14.522792,Marvel
387,2021-12-16 03:00:14.674668,Athletico
388,2021-12-16 03:00:14.829339,#spidermannowwayhome
389,2021-12-16 03:00:15.014126,Lizi
390,2021-12-16 03:00:15.180512,maisa
495,2021-12-19 21:00:35.096074,RICO NO FARO
391,2021-12-16 03:00:15.359768,Daronco
392,2021-12-16 03:00:15.530045,Kayser
393,2021-12-16 03:00:15.755922,Lary
394,2021-12-16 15:00:12.316926,SOBRE HOJE A NOITE
395,2021-12-16 15:00:12.531155,Skaf
396,2021-12-16 15:00:12.712815,#CellbitNoOrdemCast
397,2021-12-16 15:00:12.947571,Endrick
398,2021-12-16 15:00:13.210516,Ratinho
399,2021-12-16 15:00:13.410635,#BinahResponde
400,2021-12-16 15:00:13.666468,Anvisa
401,2021-12-16 15:00:13.964176,jisoo
402,2021-12-16 15:00:14.224461,IPHAN
403,2021-12-16 15:00:14.412423,#QueVergonhaBradesco
404,2021-12-16 21:00:35.068892,PayPal
405,2021-12-16 21:00:35.179808,PARABENS LEO MENDONCA HUFF
406,2021-12-16 21:00:35.454052,Whindersson
407,2021-12-16 21:00:35.612794,JAKE NO LINK PODCAST
531,2021-12-20 21:00:12.311338,jules
408,2021-12-16 21:00:35.805962,Navarro
409,2021-12-16 21:00:35.994302,Paulo Sousa
410,2021-12-16 21:00:36.170751,Yuri Alberto
411,2021-12-16 21:00:36.335285,VOTE NOBRU CRAQUE DA GALERA
412,2021-12-16 21:00:36.51804,Datafolha
413,2021-12-16 21:00:36.682973,Paulo Fonseca
414,2021-12-17 03:00:17.360825,#FinalAFazenda
415,2021-12-17 03:00:17.545085,#TheVoiceBrasil
416,2021-12-17 03:00:17.744962,#CazeDay
417,2021-12-17 03:00:17.968306,#RicoCampeão
418,2021-12-17 03:00:18.172497,Avril Lavigne
419,2021-12-17 03:00:18.405711,Rock in Rio
420,2021-12-17 03:00:18.583689,Casimiro Miguel
421,2021-12-17 03:00:18.776971,#premioesportsbr
422,2021-12-17 03:00:19.059951,Green Day
423,2021-12-17 03:00:19.2847,Gaules
424,2021-12-17 15:01:02.344796,The Witcher
425,2021-12-17 15:01:02.458652,#BadBuddySeriesEP8
426,2021-12-17 15:01:02.674616,Rever
427,2021-12-17 15:01:02.826244,#ONEPIECE1035
428,2021-12-17 15:01:02.983418,TERMINAMOS NO YT
429,2021-12-17 15:01:03.154803,#sextou
430,2021-12-17 15:01:03.30813,CLIPE MEU AMOR CHEGOU
431,2021-12-17 15:01:03.778526,what if
432,2021-12-17 15:01:03.971643,Anvisa
433,2021-12-17 15:01:04.091861,sunmi
434,2021-12-17 21:00:33.156288,TE AMAMOS DAY
560,2021-12-21 21:00:51.687145,#giveloveback
659,2021-12-25 03:00:18.816627,COMO É BOM O SOCIALISMO
435,2021-12-17 21:00:33.394445,Rever
436,2021-12-17 21:00:33.644659,The Witcher
437,2021-12-17 21:00:33.757729,DULCE E MARILIA NO YOUTUBE
438,2021-12-17 21:00:33.86315,4M DO RICO
439,2021-12-17 21:00:34.004861,#somostodosanvisa
440,2021-12-17 21:00:34.119063,#BadBuddySeriesEP8
441,2021-12-17 21:00:34.273353,#SextouDoBem
442,2021-12-17 21:00:34.464062,Fundão
443,2021-12-17 21:00:34.584303,CONTIGO ALINE MINEIRO
444,2021-12-18 03:00:17.273316,#VerdadesSecretas2
445,2021-12-18 03:00:17.598748,Angel
446,2021-12-18 03:00:17.738832,Camila Queiroz
447,2021-12-18 03:00:17.853905,BDAY TAINÁ
448,2021-12-18 03:00:18.014066,#방탄소년단진
449,2021-12-18 03:00:18.129948,#SagitarianxsLGBTQ
450,2021-12-18 03:00:18.383501,Alex
451,2021-12-18 03:00:18.523271,#BalelaAwards
452,2021-12-18 03:00:18.666832,PAIN NO MEGASHOT
453,2021-12-18 03:00:18.799194,#LiveDosFinalistas
454,2021-12-18 15:00:54.673677,#SnowdropPremiere
455,2021-12-18 15:00:54.837116,NICE TO MEET YOUNGRO
456,2021-12-18 15:00:55.047062,BLEACH
457,2021-12-18 15:00:55.22509,Itapemirim
458,2021-12-18 15:00:55.345668,#goDOLLARS
459,2021-12-18 15:00:55.475904,#voleifoxsports
460,2021-12-18 15:00:55.607164,FORÇA ALINE MINEIRO
461,2021-12-18 15:00:55.761601,#goNOISE
462,2021-12-18 15:00:55.931592,Atalanta
463,2021-12-18 15:00:56.040832,#HappyBirthdayBillie
464,2021-12-18 21:00:29.309363,Ronaldo
465,2021-12-18 21:00:29.529909,julie and the phantoms
466,2021-12-18 21:00:29.746572,KIM TAEHYUNG
467,2021-12-18 21:00:29.953901,#Caldeirão
468,2021-12-18 21:00:30.166439,EU TE ODEIO NETFLIX
469,2021-12-18 21:00:30.33303,1 MILHÃO DE SOBRE
470,2021-12-18 21:00:30.464683,JATP
471,2021-12-18 21:00:30.691213,Valladolid
472,2021-12-18 21:00:30.856423,Borussia
473,2021-12-18 21:00:31.0176,TE AMAMOS RICO
474,2021-12-19 03:00:43.259122,#BakeOffBrasil
1794,2022-02-15 03:00:44.014346,Lucas
475,2021-12-19 03:00:43.408635,#UFCnoCombate
476,2021-12-19 03:00:43.513488,#VerãoLGBTQ
477,2021-12-19 03:00:43.654942,Mac Jones
478,2021-12-19 03:00:43.894228,Patriots
479,2021-12-19 03:00:44.033992,#AltasHoras
480,2021-12-19 03:00:44.212669,Belal
481,2021-12-19 03:00:44.352838,Colts
482,2021-12-19 03:00:44.628019,Ronaldo
